NationalityId,Keywords,Name,Name-cy,Priority,PriorityUK,Region
N0010,,Afghan,Affganaidd,,,4
N0020,,Albanian,Albanaidd,,,4
N0030,,Algerian,Algeraidd,,,4
N0040,,American,Americanaidd,,,4
N0050,,Andorran,Andorraidd,,,4
N0060,,Angolan,Angolaidd,,,4
N0070,,Anguillan,Un o Anguilla,,,4
N0080,,Citizen of Antigua and Barbuda,Dinesydd o Antigua a Barbuda,,,4
N0090,,Argentine,Archentwr,,,4
N0100,,Armenian,Armenaidd,,,4
N0110,,Australian,Awstraliaidd,,,4
N0120,,Austrian,Awstriaidd,,,3
N0130,,Azerbaijani,Un o Azerbaijan,,,4
N0140,,Bahamian,Bahamaidd,,,4
N0150,,Bahraini,Bahrainaidd,,,4
N0160,,Bangladeshi,Bangladeshaidd,,,4
N0170,,Barbadian,Barbadaidd,,,4
N0180,,Belarusian,Belarwsaidd,,,4
N0190,,Belgian,Belgaidd,,,3
N0200,,Belizean,Belizeaidd,,,4
N0210,,Beninese,Beninaidd,,,4
N0220,,Bermudian,Bermudaidd,,,4
N0230,,Bhutanese,Bhutanaidd,,,4
N0240,,Bolivian,Boliviaidd,,,4
N0250,,Botswanan,Botswanaidd,,,4
N0260,,Brazilian,Brasilaidd,,,4
N0270,UK United Kingdom,British,Prydeinig,,100,1
N0280,,British Virgin Islander,Un o Ynysoedd Prydeinig y Wyryf,,,4
N0290,,Bruneian,Bruneiaidd,,,4
N0300,,Bulgarian,Bwlgaraidd,,,3
N0310,,Burkinan,Burkinaidd,,,4
N0320,,Burmese,Byrmanaidd,,,4
N0330,,Burundian,Burundaidd,,,4
N0340,,Cambodian,Cambodiaidd,,,4
N0350,,Cameroonian,Cameroonaidd,,,4
N0360,,Canadian,Canadaidd,,,4
N0370,,Cape Verdean,Un o Ynysoedd Cape Verde,,,4
N0380,,Cayman Islander,Un o Ynysoedd Cayman,,,4
N0390,,Central African,Un o Weriniaeth Canolbarth Affrica,,,4
N0400,,Chadian,Tsiadaidd,,,4
N0410,,Chilean,Chileaidd,,,4
N0420,,Chinese,Tsieineaidd,,,4
N0430,,Colombian,Colombiaidd,,,4
N0440,,Comoran,Comoraidd,,,4
N0450,,Congolese (Congo),Congolaidd (Congo),,,4
N0460,,Congolese (DRC),Congolaidd (DRC),,,4
N0470,,Cook Islander,Un o Ynysoedd Cook,,,4
N0480,,Costa Rican,Un o Gosta Rica,,,4
N0490,,Croatian,Croataidd,,,3
N0500,,Cuban,Ciwbaidd,,,4
N0510,,Cypriot,Cypraidd,,,3
N0520,,Czech,Tsiecaidd,,,3
N0530,,Danish,Danaidd,,,3
N0540,,Djiboutian,Djiboutiaidd,,,4
N0550,,Dominican,Dominicaidd,,,4
N0560,,Citizen of the Dominican Republic,Dinesydd o Weriniaeth Dominica,,,4
N0570,,Dutch,Iseldiraidd,,,3
N0580,,East Timorese,Dwyrain Timoraidd,,,4
N0590,,Ecuadorean,Ecuadoraidd,,,4
N0600,,Egyptian,Eifftiad,,,4
N0610,,Emirati,Emiratiaidd,,,4
N0620,,English,Seisnig,,,2
N0630,,Equatorial Guinean,Un o Guinea Gyhydeddol,,,4
N0640,,Eritrean,Eritreaidd,,,4
N0650,,Estonian,Estonaidd,,,3
N0660,,Ethiopian,Ethiopiad,,,4
N0670,,Faroese,Ffaroaidd,,,4
N0680,,Fijian,Ffijïaidd,,,4
N0690,,Filipino,Ffilipinaidd,,,4
N0700,,Finnish,Ffinnaidd,,,3
N0710,,French,Ffrengig,,,3
N0720,,Gabonese,Gabonaidd,,,4
N0730,,Gambian,Gambiaidd,,,4
N0740,,Georgian,Georgiaidd,,,4
N0750,,German,Almaenaidd,,,3
N0760,,Ghanaian,Ghanaidd,,,4
N0770,,Gibraltarian,Gibraltaraidd,,,4
N0780,,Greek,Groegaidd,,,3
N0790,,Greenlandic,Un o’r Ynys Las,,,4
N0800,,Grenadian,Grenadaidd,,,4
N0810,,Guamanian,Guamaidd,,,4
N0820,,Guatemalan,Guatemalaidd,,,4
N0830,,Citizen of Guinea-Bissau,Dinesydd o Guinea-Bissau,,,4
N0840,,Guinean,Guinïaidd,,,4
N0850,,Guyanese,Guyanaidd,,,4
N0860,,Haitian,Haitïaidd,,,4
N0870,,Honduran,Un o Honduras,,,4
N0880,,Hong Konger,Un o Hong Kong,,,4
N0890,,Hungarian,Hwngaraidd,,,3
N0900,,Icelandic,Un o Wlad yr Iâ,,,5
N0910,,Indian,Indiaidd,,,4
N0920,,Indonesian,Indonesaidd,,,4
N0930,,Iranian,Iranaidd,,,4
N0940,,Iraqi,Iracaidd,,,4
N0950,,Irish,Gwyddelig,,,3
N0960,,Israeli,Israelaidd,,,4
N0970,,Italian,Eidalaidd,,,3
N0980,,Ivorian,Iforaidd,,,4
N0990,,Jamaican,Jamaicaidd,,,4
N1000,,Japanese,Japanaidd,,,4
N1010,,Jordanian,Iorddonaidd,,,4
N1020,,Kazakh,Kazakh,,,4
N1030,,Kenyan,Un o Kenya,,,4
N1040,,Kittitian,Un o Saint Kitts a Nevis,,,4
N1050,,Citizen of Kiribati,Dinesydd o Kiribati,,,4
N1060,,Kosovan,Un o Kosovo,,,4
N1070,,Kuwaiti,Un o Kuwait,,,4
N1080,,Kyrgyz,Un o Kyrgyzstan,,,4
N1090,,Lao,Un o Laos,,,4
N1100,,Latvian,Latfiaidd,,,3
N1110,,Lebanese,Libanaidd,,,4
N1120,,Liberian,Liberaidd,,,4
N1130,,Libyan,Libiaidd,,,4
N1140,,Liechtenstein citizen,Dinesydd o Liechtenstein,,,5
N1150,,Lithuanian,Lithwaniaidd,,,3
N1160,,Luxembourger,Lwcsembwrgiad,,,3
N1170,,Macanese,Macanaidd,,,4
N1180,,Macedonian,Macedoniaidd,,,4
N1190,,Malagasy,Malagasaidd,,,4
N1200,,Malawian,Malawaidd,,,4
N1210,,Malaysian,Malaysiaidd,,,4
N1220,,Maldivian,Un o’r Maldives,,,4
