PortId,CountryCode,PortType,PortCode,KeyWords,Name,Priority,Region,Location,Validated
13,AE,2,DOH,,Hamad International Airport (Doha) - DOH,,4,NULL,0
90,AZ,2,BAK,,Baku Airport - BAK,,4,NULL,0
112,BE,3,LIE,,Lier Seaport - LIE,,3,NULL,0
230,CH,2,BSL,,EuroAirport Basel Mulhouse Freiburg - BSL,,4,NULL,0
242,CH,2,ZRH,,Zurich Airport - ZRH,,4,NULL,0
246,CI,2,ABJ,,Port Bouet Airport (Felix Houphouet Boigny Int'l) - ABJ,,4,NULL,0
335,DE,3,HAN,,Hameln Seaport - HAN,,3,NULL,0
339,DE,3,MUN,,Munster Seaport - MUN,,3,NULL,0
388,ES,3,BLA,,Blanes Seaport - BLA,,3,NULL,0
437,FR,2,LYN,,Bron Apt/Lyon Airport - LYN,,3,NULL,0
442,FR,2,ORY,Paris,Orly International Airport - ORY,,3,NULL,0
443,FR,3,PAR,,Paris Seaport - PAR,,3,NULL,0
453,FR,3,MRS,,Marseille Seaport - MRS,,3,NULL,0
485,GP,2,CCE,,Grand Case Airport - CCE,,4,NULL,0
525,ID,3,JKT,,Port of Jakarta Seaport - JKT,,4,NULL,0
582,IQ,2,OSM,,Mosul International Airport - OSM,,4,NULL,0
612,IS,3,REK,,REYKJAVIK Seaport - REK,,4,NULL,0
618,IT,2,CDG,,Chiusa D Ginestreto - CDG,,3,NULL,0
625,IT,2,MIL,,Milano - MIL,,3,NULL,0
629,IT,3,NKP,,Napoli Seaport - NKP,,3,NULL,0
634,IT,2,PRO,,Procida - PRO,,3,NULL,0
636,IT,2,ROM,,Roma Airport - ROM,,3,NULL,0
637,IT,3,RRO,,Sorrento Seaport - RRO,,3,NULL,0
641,IT,3,VIE,,Vieste Seaport - VIE,,3,NULL,0
668,JP,3,OSA,,Osaka Seaport - OSA,,4,NULL,0
671,JP,3,TYO,,Tokyo Seaport - TYO,,4,NULL,0
672,JP,2,UKY,,Kyoto Airport - UKY,,4,NULL,0
693,KR,3,ICH,,Incheon Seaport - ICH,,4,NULL,0
696,KR,3,SEL,,Seoul Seaport - SEL,,4,NULL,0
735,LY,3,TIP,,Tripoli Seaport - TIP,,4,NULL,0
836,NG,2,LOS,,Lagos Airport - LOS,,4,NULL,0
852,NL,2,AMS,Schiphol,Amsterdam Airport - AMS,10,3,NULL,0
854,NL,3,BON,,Born Seaport - BON,,3,NULL,0
863,NL,3,BRS,,Breskens Seaport - BRS,,3,NULL,0
968,RU,2,MOW,,Moskva - MOW,,4,NULL,0
1008,SE,2,ARN,,Arlanda Apt/Stockholm Airport - ARN,,3,NULL,0
1009,SE,2,BMA,,Bromma Apt/Stockholm Airport - BMA,,3,NULL,0
1012,SE,3,MMA,,Malmö Seaport - MMA,,3,NULL,0
1022,SG,3,SIN,,Port of Singapore Seaport - SIN,,4,NULL,1
1023,SG,2,SIN,Changi,Singapore Airport - SIN,10,4,NULL,0
1055,TH,3,BKK,,Bangkok Seaport - BKK,,4,NULL,0
1065,TH,3,PKK,,Prachuap Khiri Khan Seaport - PKK,,4,NULL,0
1081,TR,3,IST,,Istanbul Seaport - IST,,4,NULL,0
1152,UK,3,HEA,,Heacham - HEA,,1,NULL,0
1153,UK,2,LHR,,London Heathrow Airport - LHR,20,1,NULL,0
