TaxRegime,Code,Rate,StartDate,EndDate
VATFRS,FRS1,14.5,01/01/1900,31/12/2999
VATFRS,FRS2,11,01/01/1900,31/12/2999
VATFRS,FRS3,11,01/01/1900,31/12/2999
VATFRS,FRS4,12,01/01/1900,31/12/2999
VATFRS,FRS5,14.5,01/01/1900,31/12/2999
VATFRS,FRS6,12,01/01/1900,31/12/2999
VATFRS,FRS7,12,01/01/1900,31/12/2999
VATFRS,FRS8,12.5,01/01/1900,14/07/2020
VATFRS,FRS8,4.5,15/07/2020,30/09/2021
VATFRS,FRS8,8.5,01/10/2021,31/03/2022
VATFRS,FRS8,12.5,01/04/2022,31/12/2999
VATFRS,FRS9,14.5,01/01/1900,31/12/2999
VATFRS,FRS10,10.5,01/01/1900,31/12/2999
VATFRS,FRS11,12.5,01/01/1900,31/12/2999
VATFRS,FRS12,12,01/01/1900,31/12/2999
VATFRS,FRS13,6.5,01/01/1900,31/12/2999
VATFRS,FRS14,13,01/01/1900,31/12/2999
VATFRS,FRS15,13.5,01/01/1900,31/12/2999
VATFRS,FRS16,10.5,01/01/1900,31/12/2999
VATFRS,FRS17,9.5,01/01/1900,31/12/2999
VATFRS,FRS18,13,01/01/1900,31/12/2999
VATFRS,FRS19,9.5,01/01/1900,31/12/2999
VATFRS,FRS20,10.5,01/01/1900,14/07/2020
VATFRS,FRS20,0,15/07/2020,30/09/2021
VATFRS,FRS20,5.5,01/10/2021,31/03/2022
VATFRS,FRS20,10.5,01/04/2022,31/12/2999
VATFRS,FRS21,12,01/01/1900,31/12/2999
VATFRS,FRS22,14.5,01/01/1900,31/12/2999
VATFRS,FRS23,12,01/01/1900,31/12/2999
VATFRS,FRS24,14.5,01/01/1900,31/12/2999
VATFRS,FRS25,9.5,01/01/1900,31/12/2999
VATFRS,FRS26,14,01/01/1900,31/12/2999
VATFRS,FRS27,10.5,01/01/1900,31/12/2999
VATFRS,FRS28,9,01/01/1900,31/12/2999
VATFRS,FRS29,9.5,01/01/1900,31/12/2999
VATFRS,FRS30,9,01/01/1900,31/12/2999
VATFRS,FRS31,8,01/01/1900,31/12/2999
VATFRS,FRS32,10,01/01/1900,31/12/2999
VATFRS,FRS33,9,01/01/1900,31/12/2999
VATFRS,FRS34,11,01/01/1900,31/12/2999
VATFRS,FRS35,5,01/01/1900,31/12/2999
VATFRS,FRS36,8.5,01/01/1900,31/12/2999
VATFRS,FRS37,11,01/01/1900,31/12/2999
VATFRS,FRS38,6.5,01/01/1900,14/07/2020
VATFRS,FRS38,1,15/07/2020,30/09/2021
VATFRS,FRS38,4,01/10/2021,31/03/2022
VATFRS,FRS38,6.5,01/04/2022,31/12/2999
VATFRS,FRS39,14,01/01/1900,31/12/2999
VATFRS,FRS40,10,01/01/1900,31/12/2999
VATFRS,FRS41,8.5,01/01/1900,31/12/2999
VATFRS,FRS42,4,01/01/1900,31/12/2999
VATFRS,FRS43,8,01/01/1900,31/12/2999
VATFRS,FRS44,7.5,01/01/1900,31/12/2999
VATFRS,FRS45,6.5,01/01/1900,31/12/2999
VATFRS,FRS46,13,01/01/1900,31/12/2999
VATFRS,FRS47,11,01/01/1900,31/12/2999
VATFRS,FRS48,8.5,01/01/1900,31/12/2999
VATFRS,FRS49,10,01/01/1900,31/12/2999
VATFRS,FRS50,10.5,01/01/1900,31/12/2999
VATFRS,FRS51,11,01/01/1900,31/12/2999
